Ano,Mes,Hospital_CNPJ,Qtd_Pacientes,Pico_Simultaneo_Estimado,LOS_Medio_H,Gravidade_Media
2023,6,21575709000195.0,613,66,154.29690048939642,3.5807504078303425
2023,6,21583042000172.0,1119,173,155.26005361930294,3.8614834673815905
2023,6,21599824000108.0,99,25,196.6060606060606,4.212121212121212
2023,6,22488241000245.0,451,61,75.19290465631929,3.5853658536585367
2023,6,26000523000121.0,277,48,161.50180505415162,3.9386281588447654
2023,7,104400000228.0,267,184,498.60674157303373,4.438202247191011
2023,7,19843929001000.0,376,113,241.27659574468086,3.425531914893617
2023,7,21177373000102.0,4,1,24.0,3.0
2023,7,21554423000123.0,275,33,102.10909090909091,3.8
2023,7,21575709000195.0,623,75,184.4494382022472,3.648475120385233
2023,7,21583042000172.0,1101,143,142.866485013624,3.773841961852861
2023,7,21599824000108.0,104,28,233.30769230769232,4.038461538461538
